book,chapter,token_count
Nahum,1,984
Nahum,2,886
Nahum,3,1277
Ruth,1,1641
Ruth,2,1723
Ruth,3,1266
Ruth,4,1437
Micah,1,1088
Micah,2,943
Micah,3,847
Micah,4,1104
Micah,5,954
Micah,6,1143
Micah,7,1381
Psalms,1,278
Psalms,2,502
Psalms,3,322
Psalms,4,399
Psalms,5,597
Psalms,6,420
Psalms,7,686
Psalms,8,364
Psalms,9,881
Psalms,10,910
Psalms,11,325
Psalms,12,338
Psalms,13,324
Psalms,14,367
Psalms,15,269
Psalms,16,503
Psalms,17,750
Psalms,18,2239
Psalms,19,628
Psalms,20,416
Psalms,21,560
Psalms,22,1345
Psalms,23,267
Psalms,24,433
Psalms,25,826
Psalms,26,447
Psalms,27,767
Psalms,28,498
Psalms,29,496
Psalms,30,585
Psalms,31,1206
Psalms,32,560
Psalms,33,834
Psalms,34,845
Psalms,35,1395
Psalms,36,550
Psalms,37,1589
Psalms,38,813
Psalms,39,684
Psalms,40,975
Psalms,41,596
Psalms,42,710
Psalms,43,336
Psalms,44,1249
Psalms,45,836
Psalms,46,538
Psalms,47,373
Psalms,48,541
Psalms,49,845
Psalms,50,957
Psalms,51,857
Psalms,52,444
Psalms,53,365
Psalms,54,299
Psalms,55,1055
Psalms,56,610
Psalms,57,609
Psalms,58,539
Psalms,59,889
Psalms,60,572
Psalms,61,319
Psalms,62,588
Psalms,63,478
Psalms,64,463
Psalms,65,641
Psalms,66,926
Psalms,67,324
Psalms,68,1812
Psalms,69,1640
Psalms,70,258
Psalms,71,1120
Psalms,72,867
Psalms,73,1066
Psalms,74,1100
Psalms,75,449
Psalms,76,518
Psalms,77,858
Psalms,78,3101
Psalms,79,691
Psalms,80,821
Psalms,81,710
Psalms,82,336
Psalms,83,677
Psalms,84,554
Psalms,85,535
Psalms,86,756
Psalms,87,294
Psalms,88,813
Psalms,89,2198
Psalms,90,786
Psalms,91,685
Psalms,92,600
Psalms,93,269
Psalms,94,943
Psalms,95,487
Psalms,96,606
Psalms,97,478
Psalms,98,435
Psalms,99,466
Psalms,100,220
Psalms,101,403
Psalms,102,1120
Psalms,103,909
Psalms,104,1514
Psalms,105,1723
Psalms,106,1979
Psalms,107,1637
Psalms,108,594
Psalms,109,1218
Psalms,110,345
Psalms,111,438
Psalms,112,424
Psalms,113,313
Psalms,114,312
Psalms,115,740
Psalms,116,678
Psalms,117,93
Psalms,118,1115
Psalms,119,6652
Psalms,120,231
Psalms,121,289
Psalms,122,319
Psalms,123,202
Psalms,124,341
Psalms,125,245
Psalms,126,262
Psalms,127,257
Psalms,128,221
Psalms,129,286
Psalms,130,289
Psalms,131,166
Psalms,132,706
Psalms,133,132
Psalms,134,93
Psalms,135,775
Psalms,136,945
Psalms,137,423
Psalms,138,420
Psalms,139,998
Psalms,140,634
Psalms,141,509
Psalms,142,364
Psalms,143,600
Psalms,144,738
Psalms,145,814
Psalms,146,451
Psalms,147,793
Psalms,148,505
Psalms,149,367
Psalms,150,222
Song of Solomon,1,768
Song of Solomon,2,832
Song of Solomon,3,593
Song of Solomon,4,895
Song of Solomon,5,1005
Song of Solomon,6,762
Song of Solomon,7,677
Song of Solomon,8,852
Jonah,1,1200
Jonah,2,567
Jonah,3,632
Jonah,4,806
Joel,1,1282
Joel,2,2233
Joel,3,1384
Job,1,1499
Job,2,923
Job,3,1125
Job,4,882
Job,5,1093
Job,6,1267
Job,7,1032
Job,8,860
Job,9,1388
Job,10,1056
Job,11,876
Job,12,1026
Job,13,1125
Job,14,975
Job,15,1481
Job,16,938
Job,17,626
Job,18,805
Job,19,1150
Job,20,1145
Job,21,1346
Job,22,1192
Job,23,659
Job,24,1131
Job,25,219
Job,26,534
Job,27,935
Job,28,999
Job,29,996
Job,30,1310
Job,31,1743
Job,32,883
Job,33,1275
Job,34,1534
Job,35,735
Job,36,1344
Job,37,1032
Job,38,1710
Job,39,1349
Job,40,910
Job,41,1445
Job,42,1055
Proverbs,1,1402
Proverbs,2,735
Proverbs,3,1335
Proverbs,4,1007
Proverbs,5,951
Proverbs,6,1342
Proverbs,7,938
Proverbs,8,1332
Proverbs,9,691
Proverbs,10,1236
Proverbs,11,1275
Proverbs,12,1158
Proverbs,13,1045
Proverbs,14,1458
Proverbs,15,1323
Proverbs,16,1426
Proverbs,17,1228
Proverbs,18,1001
Proverbs,19,1286
Proverbs,20,1261
Proverbs,21,1229
Proverbs,22,1172
Proverbs,23,1440
Proverbs,24,1431
Proverbs,25,1166
Proverbs,26,1139
Proverbs,27,1131
Proverbs,28,1173
Proverbs,29,1121
Proverbs,30,1492
Proverbs,31,1202
Haggai,1,1076
Haggai,2,1617
Daniel,1,1325
Daniel,2,3516
Daniel,3,2556
Daniel,4,3101
Daniel,5,2351
Daniel,6,2203
Daniel,7,2068
Daniel,8,1852
Daniel,9,2365
Daniel,10,1428
Daniel,11,3286
Daniel,12,873
Titus,1,988
Titus,2,736
Titus,3,878
Leviticus,1,967
Leviticus,2,909
Leviticus,3,936
Leviticus,4,1862
Leviticus,5,1441
Leviticus,6,1734
Leviticus,7,2037
Leviticus,8,2004
Leviticus,9,1280
Leviticus,10,1436
Leviticus,11,2292
Leviticus,12,535
Leviticus,13,3225
Leviticus,14,2971
Leviticus,15,1759
Leviticus,16,2119
Leviticus,17,1073
Leviticus,18,1535
Leviticus,19,2099
Leviticus,20,1840
Leviticus,21,1256
Leviticus,22,1929
Leviticus,23,2645
Leviticus,24,1188
Leviticus,25,3170
Leviticus,26,3029
Leviticus,27,1768
Romans,1,1880
Romans,2,1534
Romans,3,1552
Romans,4,1347
Romans,5,1426
Romans,6,1394
Romans,7,1429
Romans,8,2127
Romans,9,1812
Romans,10,1188
Romans,11,2089
Romans,12,1001
Romans,13,876
Romans,14,1264
Romans,15,1899
Romans,16,1469
Malachi,1,1389
Malachi,2,1554
Malachi,3,1463
Malachi,4,419
Numbers,1,2456
Numbers,2,1558
Numbers,3,2529
Numbers,4,2315
Numbers,5,1838
Numbers,6,1632
Numbers,7,5114
Numbers,8,1509
Numbers,9,1544
Numbers,10,1902
Numbers,11,2223
Numbers,12,896
Numbers,13,1487
Numbers,14,2704
Numbers,15,2117
